timestamp,%_cpu
6.38E+17,48.18273
6.38E+17,66.028435
6.38E+17,56.784134
6.38E+17,48.233143
6.38E+17,45.10919
6.38E+17,41.992756
6.38E+17,48.22089
6.38E+17,42.777695
6.38E+17,54.43546
6.38E+17,56.740383
6.38E+17,48.992363
6.38E+17,39.63711
6.38E+17,44.310356
6.38E+17,44.338642
6.38E+17,45.12785
6.38E+17,50.545845
6.38E+17,54.41146
6.38E+17,45.08532
6.38E+17,53.62163
6.38E+17,52.050556
6.38E+17,43.520634
6.38E+17,54.423496
6.38E+17,45.02711
6.38E+17,38.702274
6.38E+17,44.320793
6.38E+17,54.37877
6.38E+17,52.11672
6.38E+17,41.952713
6.38E+17,53.52113
6.38E+17,50.53507
6.38E+17,50.541744
6.38E+17,52.87964
6.38E+17,55.240726
6.38E+17,49.015194
6.38E+17,45.897434
6.38E+17,47.42575
6.38E+17,59.10321
6.38E+17,51.22577
6.38E+17,61.19785
6.38E+17,52.065388
6.38E+17,57.53956
6.38E+17,47.43178
6.38E+17,54.37203
6.38E+17,52.08779
6.38E+17,52.870296
6.38E+17,52.106155
6.38E+17,46.657455
6.38E+17,48.22349
6.38E+17,56.041355
6.38E+17,47.400196
6.38E+17,60.561195
6.38E+17,43.566727
6.38E+17,52.82558
6.38E+17,39.655453
6.38E+17,47.428646
6.38E+17,62.973495
6.38E+17,49.789948
6.38E+17,50.571938
6.38E+17,61.470577
6.38E+17,39.62672
6.38E+17,64.333786
6.38E+17,50.572617
6.38E+17,61.471428
6.38E+17,58.367836
6.38E+17,50.52618
6.38E+17,44.324112
6.38E+17,49.778492
6.38E+17,52.818993
6.38E+17,53.688663
6.38E+17,45.913593
6.38E+17,55.1521
6.38E+17,55.257126
6.38E+17,56.77499
6.38E+17,64.578125
6.38E+17,47.394947
6.38E+17,58.25818
6.38E+17,45.84405
6.38E+17,49.79795
6.38E+17,52.119522
6.38E+17,61.463478
6.38E+17,54.47072
6.38E+17,47.385456
6.38E+17,56.039543
6.38E+17,46.625694
6.38E+17,55.23365
6.38E+17,46.663048
6.38E+17,53.66047
6.38E+17,53.67437
6.38E+17,48.20438
6.38E+17,59.09086
6.38E+17,52.108116
6.38E+17,45.092346
6.38E+17,57.494144
6.38E+17,47.468456
6.38E+17,40.457527
6.38E+17,48.984093
6.38E+17,47.357628
6.38E+17,44.125996
6.38E+17,52.064907
6.38E+17,54.47725
6.38E+17,51.301704
6.38E+17,58.272614
6.38E+17,59.065468
6.38E+17,49.723812
6.38E+17,48.99927
6.38E+17,52.147053
6.38E+17,59.84198
6.38E+17,49.715607
6.38E+17,45.880714
6.38E+17,56.01584
6.38E+17,56.812336
6.38E+17,46.66601
6.38E+17,45.045353
6.38E+17,45.047012
6.38E+17,45.881283
6.38E+17,51.31775
6.38E+17,54.44023
6.38E+17,45.89664
6.38E+17,48.94917
6.38E+17,51.176495
6.38E+17,52.001736
6.38E+17,51.064125
6.38E+17,50.56683
6.38E+17,49.797195
6.38E+17,54.486603
6.38E+17,53.603695
6.38E+17,64.58944
6.38E+17,48.216446
6.38E+17,63.745506
6.38E+17,51.36318
6.38E+17,54.41459
6.38E+17,57.487118
6.38E+17,55.19666
6.38E+17,40.4375
6.38E+17,62.07645
6.38E+17,51.890537
6.38E+17,45.878685
6.38E+17,56.77434
6.38E+17,52.102703
6.38E+17,54.420006
6.38E+17,45.08012
6.38E+17,43.544926
6.38E+17,46.67359
6.38E+17,52.89188
6.38E+17,48.228683
6.38E+17,48.965065
6.38E+17,49.80109
6.38E+17,48.109375
6.38E+17,48.10053
6.38E+17,51.911297
6.38E+17,55.215405
6.38E+17,49.80325
6.38E+17,45.883385
6.38E+17,63.018185
6.38E+17,38.08576
6.38E+17,41.953964
6.38E+17,56.019775
6.38E+17,54.41176
6.38E+17,44.303463
6.38E+17,57.49489
6.38E+17,48.900963
6.38E+17,57.530037
6.38E+17,51.36474
6.38E+17,38.87593
6.38E+17,40.414185
6.38E+17,54.397987
6.38E+17,46.673042
6.38E+17,50.579132
6.38E+17,48.2086
6.38E+17,56.75928
6.38E+17,58.312645
6.38E+17,37.33529
6.38E+17,46.670635
6.38E+17,47.444702
6.38E+17,63.762005
6.38E+17,52.838444
6.38E+17,50.53324
6.38E+17,41.219055
6.38E+17,42.77654
6.38E+17,47.4019
6.38E+17,52.84579
6.38E+17,45.085148
6.38E+17,44.316345
6.38E+17,52.943195
6.38E+17,50.582672
6.38E+17,55.225967
6.38E+17,51.326744
6.38E+17,54.449978
6.38E+17,48.23091
6.38E+17,49.75629
6.38E+17,48.23584
6.38E+17,47.442463
6.38E+17,50.435318
6.38E+17,55.20631
6.38E+17,36.46632
6.38E+17,52.07821
6.38E+17,50.500584
6.38E+17,60.679363
6.38E+17,43.528465
6.38E+17,50.222153
6.38E+17,49.690655
6.38E+17,55.23332
6.38E+17,55.992382
6.38E+17,55.226715
6.38E+17,43.507935
6.38E+17,52.095253
6.38E+17,49.02889
6.38E+17,55.991947
6.38E+17,70.67867
6.38E+17,58.13577
6.38E+17,61.396282
6.38E+17,52.11735
6.38E+17,45.120262
6.38E+17,66.09495
6.38E+17,45.872715
6.38E+17,53.688633
6.38E+17,65.330246
6.38E+17,56.76617
6.38E+17,41.203884
6.38E+17,56.75468
6.38E+17,62.192413
6.38E+17,54.460213
6.38E+17,61.39593
6.38E+17,44.348125
6.38E+17,52.89145
6.38E+17,52.086964
6.38E+17,53.63324
6.38E+17,66.1315
6.38E+17,57.54311
6.38E+17,48.244244
6.38E+17,66.80638
6.38E+17,54.425064
6.38E+17,66.11782
6.38E+17,58.31901
6.38E+17,54.402832
6.38E+17,57.541016
6.38E+17,40.42506
6.38E+17,55.983105
6.38E+17,45.899956
6.38E+17,42.780693
6.38E+17,51.30232
6.38E+17,59.129765
6.38E+17,51.35441
6.38E+17,47.448574
6.38E+17,46.68602
6.38E+17,65.24841
6.38E+17,61.8678
6.38E+17,51.357254
6.38E+17,48.2262
6.38E+17,46.67328
6.38E+17,50.522972
6.38E+17,48.98588
6.38E+17,37.25566
6.38E+17,56.803127
6.38E+17,52.849903
6.38E+17,49.748447
6.38E+17,61.40651
6.38E+17,47.456043
6.38E+17,50.562702
6.38E+17,53.683647
6.38E+17,49.79108
6.38E+17,54.455444
6.38E+17,51.31804
6.38E+17,51.364952
6.38E+17,47.45907
6.38E+17,59.87515
6.38E+17,62.24971
6.38E+17,44.325745
6.38E+17,51.329037
6.38E+17,46.5736
6.38E+17,56.496464
6.38E+17,44.26238
6.38E+17,63.765194
6.38E+17,52.057224
6.38E+17,47.856552
6.38E+17,58.27498
6.38E+17,51.34803
6.38E+17,56.68952
6.38E+17,50.577374
6.38E+17,50.531013
6.38E+17,48.199104
6.38E+17,47.474564
6.38E+17,48.212772
6.38E+17,55.235283
6.38E+17,66.93076
6.38E+17,37.323757
6.38E+17,49.030857
6.38E+17,52.870247
6.38E+17,55.257805
6.38E+17,55.20707
6.38E+17,50.453484
6.38E+17,44.901817
6.38E+17,44.351196
6.38E+17,47.45009
6.38E+17,56.01561
6.38E+17,45.11653
6.38E+17,48.97119
6.38E+17,46.657486
6.38E+17,52.891445
6.38E+17,60.536346
6.38E+17,47.95036
6.38E+17,61.420303
6.38E+17,48.24106
6.38E+17,39.676807
6.38E+17,51.319458
6.38E+17,65.318565
6.38E+17,60.65372
6.38E+17,38.87836
6.38E+17,63.675762
6.38E+17,55.178608
6.38E+17,48.150223
6.38E+17,57.49992
6.38E+17,63.0333
6.38E+17,46.62353
6.38E+17,57.534065
6.38E+17,62.944977
6.38E+17,42.013733
6.38E+17,55.191845
6.38E+17,49.727184
6.38E+17,49.73176
6.38E+17,56.768032
6.38E+17,53.69959
6.38E+17,72.35408
6.38E+17,58.2836
6.38E+17,42.744427
6.38E+17,43.490784
6.38E+17,52.860203
6.38E+17,63.813663
6.38E+17,52.125866
6.38E+17,47.4172
6.38E+17,43.515934
6.38E+17,51.355335
6.38E+17,67.64657
6.38E+17,47.477924
6.38E+17,51.356503
6.38E+17,56.799324
6.38E+17,46.590855
6.38E+17,54.479885
6.38E+17,45.137913
6.38E+17,42.012447
6.38E+17,49.796825
6.38E+17,55.176327
6.38E+17,50.50466
6.38E+17,52.891
6.38E+17,53.66195
6.38E+17,52.875416
6.38E+17,48.117912
6.38E+17,49.715694
6.38E+17,45.901543
6.38E+17,49.007072
